15:09:30.516 25.77,48.0,100486.00,80.90,3.43,1,
15:09:43.018 25.78,49.0,100492.00,75.74,3.43,1,
15:09:53.192 25.78,48.0,100486.00,104.98,3.43,1,
15:10:05.515 25.78,48.0,100499.00,32.74,3.43,1,
15:10:18.018 25.78,48.0,100488.00,53.38,3.43,1,
15:10:28.012 25.78,48.0,100488.00,68.86,3.43,1,
15:10:40.517 25.78,48.0,100488.00,58.54,3.43,1,
15:10:52.989 25.77,48.0,100485.00,72.30,3.43,1,
15:11:03.014 25.78,48.0,100481.00,77.46,3.43,1,
15:11:15.457 25.79,48.0,100486.00,80.90,3.93,1,
15:11:27.958 25.78,48.0,100492.00,91.22,3.43,1,
15:11:37.958 25.77,47.0,100488.00,74.02,3.43,1,
15:11:50.455 25.77,47.0,100484.00,115.30,3.43,1,
15:12:02.952 25.77,47.0,100489.00,61.98,3.43,1,
15:12:12.955 25.78,48.0,100487.00,79.18,3.43,1,
15:12:25.450 25.77,48.0,100491.00,98.10,3.43,1,
15:12:37.931 25.78,48.0,100485.00,72.30,3.43,1,
15:12:47.954 25.77,47.0,100495.00,60.26,3.43,1,
15:13:00.396 25.77,47.0,100491.00,70.58,3.43,1,
15:13:12.887 25.76,47.0,100490.00,80.90,3.43,1,
15:13:25.390 25.77,47.0,100487.00,82.62,3.43,1,
15:13:35.390 25.76,47.0,100488.00,67.14,3.43,1,
15:13:47.884 25.76,47.0,100488.00,70.58,3.93,1,
15:14:00.390 25.76,47.0,100497.00,84.34,3.43,1,
15:14:12.865 25.76,47.0,100490.00,80.90,3.43,1,
15:14:23.019 25.77,48.0,100489.00,67.14,3.43,1,
15:14:35.331 25.75,47.0,100484.00,75.74,3.43,1,
15:14:47.828 25.76,47.0,100495.00,82.62,3.43,1,
15:15:00.325 25.75,47.0,100498.00,110.14,3.43,1,
15:15:10.328 25.76,47.0,100484.00,72.30,3.43,1,
15:15:22.830 25.76,47.0,100483.00,67.14,3.43,1,
15:15:35.313 25.75,47.0,100494.00,91.22,3.43,1,
15:15:47.766 25.75,47.0,100497.00,108.42,3.43,1,
15:16:00.268 25.75,47.0,100484.00,92.94,3.43,1,
15:16:10.262 25.75,47.0,100489.00,75.74,3.43,1,
15:16:22.763 25.74,47.0,100485.00,103.26,3.43,1,
15:16:35.269 25.74,47.0,100495.00,74.02,3.43,1,
15:16:45.262 25.75,47.0,100492.00,46.50,3.43,1,
15:16:57.758 25.74,47.0,100489.00,55.10,3.43,1,
15:17:10.240 25.73,47.0,100497.00,56.82,3.43,1,
15:17:20.394 25.74,47.0,100487.00,63.70,3.43,1,
15:17:32.707 25.74,47.0,100492.00,53.38,3.43,1,
15:17:45.199 25.75,48.0,100491.00,89.50,3.43,1,
15:17:57.694 25.76,48.0,100488.00,72.30,3.43,1,
15:18:10.137 25.75,47.0,100489.00,87.78,3.43,1,
15:18:20.193 25.75,47.0,100489.00,75.74,3.43,1,
15:18:32.645 25.75,47.0,100490.00,72.30,3.43,1,
15:18:45.148 25.75,47.0,100487.00,63.70,3.43,1,
15:18:55.142 25.74,46.0,100490.00,79.18,3.43,1,
15:19:07.645 25.75,47.0,100485.00,68.86,3.43,1,
15:19:20.128 25.75,47.0,100491.00,87.78,3.43,1,
15:19:32.633 25.74,47.0,100486.00,84.34,3.43,1,
15:19:42.767 25.74,47.0,100478.00,99.82,3.43,1,
15:19:55.128 25.73,47.0,100494.00,58.54,3.43,1,
15:20:07.581 25.74,47.0,100480.00,79.18,3.43,1,
15:20:20.074 25.74,47.0,100489.00,65.42,3.43,1,
15:20:32.571 25.73,47.0,100488.00,82.62,3.43,1,
15:20:42.579 25.73,47.0,100481.00,89.50,3.43,1,
15:20:55.072 25.73,47.0,100478.00,87.78,3.93,1,
15:21:07.513 25.73,47.0,100493.00,87.78,3.43,1,
15:21:17.568 25.72,47.0,100485.00,68.86,3.43,1,
15:21:30.011 25.72,47.0,100485.00,80.90,3.43,1,
15:21:42.514 25.72,47.0,100479.00,84.34,3.43,1,
15:21:52.513 25.73,47.0,100485.00,63.70,3.43,1,
15:22:05.019 25.73,47.0,100489.00,84.34,3.43,1,
15:22:17.499 25.74,47.0,100494.00,67.14,3.43,1,
15:22:27.518 25.75,48.0,100487.00,70.58,3.43,1,
15:22:39.998 25.76,49.0,100482.00,91.22,3.43,1,
15:22:52.450 25.77,49.0,100476.00,79.18,3.43,1,
15:23:02.496 25.78,50.0,100486.00,94.66,3.43,1,
15:23:14.942 25.78,50.0,100485.00,60.26,3.43,1,
15:23:25.126 25.80,50.0,100489.00,79.18,3.43,1,
15:23:37.473 25.80,50.0,100485.00,92.94,3.43,1,
15:23:49.939 25.80,50.0,100481.00,86.06,3.43,1,
15:24:02.443 25.81,51.0,100488.00,82.62,3.43,1,
15:24:12.439 25.83,51.0,100483.00,91.22,3.43,1,
15:24:24.933 25.83,51.0,100480.00,79.18,3.43,1,
15:24:37.376 25.83,51.0,100486.00,72.30,3.43,1,
15:24:49.878 25.84,51.0,100479.00,70.58,3.43,1,
15:25:02.371 25.84,51.0,100483.00,84.34,3.43,1,
15:25:14.876 25.84,51.0,100478.00,89.50,3.43,1,
15:25:27.359 25.85,52.0,100472.00,67.14,3.43,1,
15:25:39.811 25.85,52.0,100482.00,108.42,3.43,1,
15:25:52.316 25.86,52.0,100481.00,79.18,3.43,1,
15:26:02.348 25.86,52.0,100476.00,60.26,3.93,1,
15:26:14.808 25.86,52.0,100476.00,68.86,3.43,1,
15:26:27.311 26.79,53.0,100483.00,80.90,3.93,1,
15:26:39.788 25.86,52.0,100480.00,91.22,3.43,1,
15:26:52.250 25.86,52.0,100469.00,55.10,3.43,1,
15:27:04.752 25.86,52.0,100476.00,60.26,3.43,1,
15:27:17.225 26.79,53.0,100473.00,98.10,3.93,1,
15:27:29.692 26.80,53.0,100476.00,77.46,3.93,1,
15:27:44.628 26.80,53.0,100479.00,75.74,3.93,1,
15:27:57.124 26.81,54.0,100478.00,72.30,3.93,1,
15:28:09.621 26.81,53.0,100479.00,103.26,3.43,1,
15:28:22.065 26.82,53.0,100479.00,98.10,3.93,1,
15:28:34.559 26.83,54.0,100477.00,75.74,3.93,1,
15:28:47.061 26.84,54.0,100477.00,125.62,3.93,1,
15:29:01.997 26.84,54.0,100476.00,101.54,3.93,1,
15:29:14.500 26.83,54.0,100474.00,104.98,3.43,1,
15:29:26.990 26.84,54.0,100478.00,48.22,3.93,1,
15:29:39.441 26.84,54.0,100483.00,77.46,3.93,1,
15:29:54.379 26.85,54.0,100473.00,67.14,3.93,1,
15:30:04.430 26.85,54.0,100480.00,70.58,3.43,1,
15:30:19.375 26.85,54.0,100473.00,84.34,3.43,1,
15:30:31.855 26.86,54.0,100476.00,79.18,3.43,1,
15:30:44.315 26.87,54.0,100479.00,91.22,3.93,1,
15:30:56.816 26.86,53.0,100479.00,98.10,3.43,1,
15:31:09.315 26.86,53.0,100478.00,87.78,3.43,1,
15:31:19.310 26.85,53.0,100476.00,60.26,3.93,1,
15:31:31.807 26.83,52.0,100476.00,70.58,3.43,1,
15:31:44.287 26.82,52.0,100477.00,63.70,3.93,1,
15:31:56.736 26.81,52.0,100479.00,79.18,3.93,1,
15:32:09.239 26.79,51.0,100480.00,65.42,3.43,1,
15:32:21.733 26.79,52.0,100473.00,58.54,3.93,1,
15:32:34.216 25.85,51.0,100475.00,79.18,3.43,1,
15:32:46.676 25.85,51.0,100485.00,58.54,3.43,1,
15:32:59.176 25.83,51.0,100473.00,96.38,3.43,1,
15:33:11.655 25.82,51.0,100472.00,56.82,3.43,1,
15:33:24.115 25.80,51.0,100480.00,82.62,3.43,1,
15:33:36.611 25.79,51.0,100486.00,86.06,3.43,1,
15:33:49.095 25.78,51.0,100480.00,84.34,3.43,1,
15:34:01.544 25.77,51.0,100478.00,89.50,3.43,1,
15:34:11.735 25.76,51.0,100476.00,75.74,3.43,1,
15:34:24.050 24.84,51.0,100476.00,92.94,3.43,1,
15:34:36.512 24.83,51.0,100480.00,99.82,3.43,1,
15:34:49.011 24.83,51.0,100476.00,53.38,3.43,1,
15:35:01.514 24.82,51.0,100475.00,92.94,3.43,1,
